date,character_name,world_name,character_class,character_level,character_exp,character_exp_rate,character_date_create,past_level,growth,create_year,create_year_month
2025-04-27 00:00:00+09:00,사도우하루키,챌린저스2,보우마스터,280.0,736843196271.0,2.190,2024-12-29 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,램슬랜드,루나,보우마스터,280.0,775836686876.0,2.306,2024-06-20 00:00:00+09:00,279.0,1.0,2024.0,2024-06
2025-04-27 00:00:00+09:00,빠깝,루나,보우마스터,280.0,729484732118.0,2.168,2023-06-15 00:00:00+09:00,280.0,0.0,2023.0,2023-06
2025-04-27 00:00:00+09:00,프을레터,베라,보우마스터,280.0,716377514415.0,2.129,2017-06-13 00:00:00+09:00,279.0,1.0,2017.0,2017-06
2025-04-27 00:00:00+09:00,냥냥이보마,스카니아,보우마스터,280.0,713713495909.0,2.121,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,스페셜활잡이,스카니아,보우마스터,280.0,1197599907995.0,3.559,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,간호사애호가,크로아,보우마스터,280.0,700632022571.0,2.082,2023-07-07 00:00:00+09:00,280.0,0.0,2023.0,2023-07
2025-04-27 00:00:00+09:00,보마악동,루나,보우마스터,280.0,729669383045.0,2.169,2024-06-30 00:00:00+09:00,277.0,3.0,2024.0,2024-06
2025-04-27 00:00:00+09:00,수리수리수리,챌린저스,보우마스터,280.0,687467770797.0,2.043,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,저촉,엘리시움,보우마스터,280.0,844204995785.0,2.509,2025-02-07 00:00:00+09:00,273.0,7.0,2025.0,2025-02
2025-04-27 00:00:00+09:00,소원보마,챌린저스,보우마스터,280.0,633910509931.0,1.884,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,츠명,챌린저스,보우마스터,280.0,851634051649.0,2.531,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,닉변예정보마,챌린저스,보우마스터,280.0,630132266053.0,1.873,2024-12-19 00:00:00+09:00,280.0,0.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,열인,엘리시움,보우마스터,280.0,624390929065.0,1.856,2020-12-17 00:00:00+09:00,279.0,1.0,2020.0,2020-12
2025-04-27 00:00:00+09:00,잇펜,챌린저스,보우마스터,280.0,624334320673.0,1.856,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,떡잎밥,오로라,보우마스터,280.0,619661379729.0,1.842,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,바탕체,베라,보우마스터,280.0,615094327310.0,1.828,2016-01-14 00:00:00+09:00,279.0,1.0,2016.0,2016-01
2025-04-27 00:00:00+09:00,초코스모어,크로아,보우마스터,280.0,811678958039.0,2.412,2019-11-11 00:00:00+09:00,278.0,2.0,2019.0,2019-11
2025-04-27 00:00:00+09:00,성꾸보마,루나,보우마스터,280.0,598499853079.0,1.779,2020-09-12 00:00:00+09:00,279.0,1.0,2020.0,2020-09
2025-04-27 00:00:00+09:00,겨울봄2,오로라,보우마스터,280.0,588131301887.0,1.748,2024-12-19 00:00:00+09:00,279.0,1.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,십쥬군은보마,챌린저스,보우마스터,280.0,742908729777.0,2.208,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,더지봄,스카니아,보우마스터,280.0,575812287056.0,1.711,2022-12-22 00:00:00+09:00,280.0,0.0,2022.0,2022-12
2025-04-27 00:00:00+09:00,보마바티,챌린저스,보우마스터,280.0,1884045897584.0,5.599,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,클린업,챌린저스4,보우마스터,280.0,706293392799.0,2.099,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,환의림,엘리시움,보우마스터,280.0,556757856994.0,1.655,2024-01-03 00:00:00+09:00,279.0,1.0,2024.0,2024-01
2025-04-27 00:00:00+09:00,엔부사과,챌린저스2,보우마스터,280.0,549923166393.0,1.634,2024-12-20 00:00:00+09:00,280.0,0.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,이성원I,크로아,보우마스터,280.0,539432301308.0,1.603,2019-01-18 00:00:00+09:00,279.0,1.0,2019.0,2019-01
2025-04-27 00:00:00+09:00,올올준,엘리시움,보우마스터,280.0,528076417791.0,1.569,2019-12-19 00:00:00+09:00,280.0,0.0,2019.0,2019-12
2025-04-27 00:00:00+09:00,보마곳,크로아,보우마스터,280.0,526215734647.0,1.564,2023-12-21 00:00:00+09:00,280.0,0.0,2023.0,2023-12
2025-04-27 00:00:00+09:00,파부닥엉,베라,보우마스터,280.0,502218092810.0,1.493,2022-12-22 00:00:00+09:00,280.0,0.0,2022.0,2022-12
2025-04-27 00:00:00+09:00,일꾼쩜사,챌린저스2,보우마스터,280.0,681248009171.0,2.025,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,결벼루,스카니아,보우마스터,280.0,1832571797561.0,5.446,2023-12-21 00:00:00+09:00,277.0,3.0,2023.0,2023-12
2025-04-27 00:00:00+09:00,잔망스런보마,챌린저스4,보우마스터,280.0,770682943618.0,2.290,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,셔퉁이,베라,보우마스터,280.0,447701952191.0,1.331,2024-06-21 00:00:00+09:00,278.0,2.0,2024.0,2024-06
2025-04-27 00:00:00+09:00,꼬먀보마,루나,보우마스터,280.0,662406619465.0,1.969,2024-12-22 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,스즈룰,스카니아,보우마스터,280.0,1546479779122.0,4.596,2025-01-12 00:00:00+09:00,277.0,3.0,2025.0,2025-01
2025-04-27 00:00:00+09:00,AimeeLynx,챌린저스4,보우마스터,280.0,408059157655.0,1.213,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,삐랜드,오로라,보우마스터,280.0,408054927106.0,1.213,2024-09-23 00:00:00+09:00,280.0,0.0,2024.0,2024-09
2025-04-27 00:00:00+09:00,선혈활,스카니아,보우마스터,280.0,398992609595.0,1.186,2024-06-20 00:00:00+09:00,278.0,2.0,2024.0,2024-06
2025-04-27 00:00:00+09:00,끄로아,크로아,보우마스터,280.0,391647212213.0,1.164,2023-02-26 00:00:00+09:00,278.0,2.0,2023.0,2023-02
2025-04-27 00:00:00+09:00,coEvo,유니온,보우마스터,280.0,1351380811732.0,4.016,2023-02-23 00:00:00+09:00,278.0,2.0,2023.0,2023-02
2025-04-27 00:00:00+09:00,뮈정근,유니온,보우마스터,280.0,536547640586.0,1.595,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,땅혼,스카니아,보우마스터,280.0,373906256263.0,1.111,2023-12-26 00:00:00+09:00,279.0,1.0,2023.0,2023-12
2025-04-27 00:00:00+09:00,엽찍,챌린저스2,보우마스터,280.0,1360715517041.0,4.044,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,진술해,루나,보우마스터,280.0,362426344564.0,1.077,2019-01-27 00:00:00+09:00,279.0,1.0,2019.0,2019-01
2025-04-27 00:00:00+09:00,전튜버,챌린저스,보우마스터,280.0,357792646071.0,1.063,2024-12-19 00:00:00+09:00,280.0,0.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,마안연비,챌린저스,보우마스터,280.0,1575349970227.0,4.682,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,매크로플래터,챌린저스,보우마스터,280.0,332441252646.0,0.988,2024-12-19 00:00:00+09:00,280.0,0.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,교좽,스카니아,보우마스터,280.0,3158501808956.0,9.387,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,소옹누어,엘리시움,보우마스터,280.0,296538642174.0,0.881,2023-06-21 00:00:00+09:00,280.0,0.0,2023.0,2023-06
2025-04-27 00:00:00+09:00,가이나노,챌린저스,보우마스터,280.0,295974404862.0,0.880,2024-12-19 00:00:00+09:00,279.0,1.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,외제보마,베라,보우마스터,280.0,284746017963.0,0.846,2023-07-09 00:00:00+09:00,280.0,0.0,2023.0,2023-07
2025-04-27 00:00:00+09:00,역도마스터,스카니아,보우마스터,280.0,457879394727.0,1.361,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,날조군,챌린저스2,보우마스터,280.0,298296741678.0,0.887,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,내이름종환,챌린저스2,보우마스터,280.0,450603226787.0,1.339,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
